CloneID	Symbol
IMAGE:347348	C17orf63
IMAGE:156386	FLOT2
IMAGE:338519	SMARCE1
IMAGE:563451	In multiple ClusterIDs
IMAGE:245198	MED24
IMAGE:68400	MED1
IMAGE:756253	ERBB2
IMAGE:236059	GRB7
IMAGE:783729	ERBB2
IMAGE:825577	STARD3
IMAGE:782756	TBPL1
IMAGE:418240	FBXL20
IMAGE:509823	CEACAM6
IMAGE:135221	S100P
IMAGE:138936	STOM
IMAGE:259905	GNPNAT1
IMAGE:201288	FOXA3
IMAGE:50582	In multiple ClusterIDs
IMAGE:263014	GSTT1
IMAGE:810463	DHRS7B
IMAGE:795893	PPP1R15A
IMAGE:128302	PTMS
IMAGE:301043	Data not found
IMAGE:148800	In multiple ClusterIDs
IMAGE:284100	COLEC12
IMAGE:213850	FJX1
IMAGE:209655	TGFBR3
IMAGE:781007	RPL27A
IMAGE:488434	RB1CC1
IMAGE:23185	TNC
IMAGE:271899	CDC42BPA
IMAGE:249755	KLHDC5
IMAGE:362729	In multiple ClusterIDs
IMAGE:280236	In multiple ClusterIDs
IMAGE:292731	RSF1
IMAGE:305809	ACER3
IMAGE:195138	LPGAT1
IMAGE:740457	BMI1
IMAGE:279152	C16orf72
IMAGE:361565	GLUD1
IMAGE:343744	H1F0
IMAGE:340558	ARPC5
IMAGE:66792	ARL2BP
IMAGE:487172	In multiple ClusterIDs
IMAGE:109153	COPA
IMAGE:66728	FECH
IMAGE:261836	TCF12
IMAGE:325062	In multiple ClusterIDs
IMAGE:813254	F2R
IMAGE:471498	GNS
IMAGE:49464	UNG
IMAGE:50883	In multiple ClusterIDs
IMAGE:324891	DEGS1
IMAGE:259996	LPCAT2
IMAGE:49352	ANXA7
IMAGE:784224	FGFR4
IMAGE:295564	RAB31
IMAGE:120881	RAB31
IMAGE:487831	ITPRIPL2
IMAGE:486591	SEMA3C
IMAGE:362853	TWF1
IMAGE:788518	PEX2
IMAGE:110281	STX7
IMAGE:165857	INPP4B
IMAGE:271989	RALGPS2
IMAGE:489031	DIP2B
IMAGE:298134	FZD1
IMAGE:141726	Data not found
IMAGE:324901	WNT5A
IMAGE:810057	CSDA
IMAGE:265060	KIT
IMAGE:324510	CLIP4
IMAGE:156473	EPHX2
IMAGE:491415	CYBRD1
IMAGE:264162	LINC00339
IMAGE:203008	NUDT15
IMAGE:201757	PAPSS2
IMAGE:324664	SLC9A7
IMAGE:592243	TCN1
IMAGE:788421	SMAD4
IMAGE:810459	FZD8
IMAGE:856519	ALDH3A2
IMAGE:150361	IGF1R
IMAGE:325070	In multiple ClusterIDs
IMAGE:796398	
IMAGE:773724	FADD
IMAGE:823876	PPP2CB
IMAGE:770192	LGALS9
IMAGE:811024	BST2
IMAGE:815542	MX1
IMAGE:782513	IFI6
IMAGE:753587	BTN3A3
IMAGE:841340	TAP1
IMAGE:611443	MB
IMAGE:68977	PSMB10
IMAGE:268736	PLSCR1
IMAGE:291097	FKBP11
IMAGE:471196	ITM2C
IMAGE:789369	ID4
IMAGE:66560	IGLC1
IMAGE:344134	IGLL1
IMAGE:768497	CCL18
IMAGE:299679	
IMAGE:247925	UTP20
IMAGE:587388	LIPH
IMAGE:430235	HIST2H2BE
IMAGE:66317	HIST1H1C
IMAGE:268178	CANX
IMAGE:83297	FZD6
IMAGE:826459	PPP6C
IMAGE:503682	In multiple ClusterIDs
IMAGE:842851	LMAN2L
IMAGE:32517	POLR3E
IMAGE:363086	CKMT1B
IMAGE:810891	LAMA5
IMAGE:884641	ARFRP1
IMAGE:162479	ELF3
IMAGE:123614	FAM110A
IMAGE:809815	ENTPD6
IMAGE:194161	CAPN12
IMAGE:491565	CITED2
IMAGE:809488	
IMAGE:840158	
IMAGE:364209	ANK3
IMAGE:203003	NME4
IMAGE:839566	RANBP6
IMAGE:502977	LIG3
IMAGE:108422	In multiple ClusterIDs
IMAGE:843134	PEBP1
IMAGE:377051	C22orf32
IMAGE:753917	TM9SF2
IMAGE:502428	CLN5
IMAGE:753285	GYG1
IMAGE:770391	DOK4
IMAGE:767798	ATOX1
IMAGE:739109	AP2S1
IMAGE:356992	C19orf53
IMAGE:810725	ATP6V0B
IMAGE:68636	C11orf48
IMAGE:78869	ADRM1
IMAGE:511428	FXYD3
IMAGE:251019	CDH1
IMAGE:416386	CDH1
IMAGE:513077	In multiple ClusterIDs
IMAGE:813387	NQO1
IMAGE:82874	ATPIF1
IMAGE:950688	ATP6V1G1
IMAGE:250667	RAB9A
IMAGE:71672	ETFA
IMAGE:784744	MPHOSPH6
IMAGE:343607	SELS
IMAGE:825451	USO1
IMAGE:591465	PIEZO1
IMAGE:841470	CTSH
IMAGE:743114	HSPBP1
IMAGE:234237	PIR
IMAGE:503639	KCTD15
IMAGE:342211	MBOAT2
IMAGE:897770	CRABP2
IMAGE:455123	MTSS1
IMAGE:796198	EFNB2
IMAGE:1031045	SLC4A3
IMAGE:43884	PPIF
IMAGE:741474	GPI
IMAGE:204335	In multiple ClusterIDs
IMAGE:784589	MMP15
IMAGE:77728	
